Id,type,label,Parent
0,File,D:/ENRE-other/enre-py/tests/cases/_packagedefinition/_regularpackage/package_a/module_a.py,1
1,Package,package_a,-1
2,File,D:/ENRE-other/enre-py/tests/cases/_packagedefinition/_regularpackage/package_a/__init__.py,1
